date,symbol,y_1,y_5,y_21,MA1.close-to-close,MA5.close-to-close,MA20.close-to-close,MA1.neg_ret_cc,MA5.neg_ret_cc,MA1.SPY.close-to-close,MA5.SPY.close-to-close,MA20.SPY.close-to-close
2012-12-10,QQQ,4.63966,12.995301,17.392101,9.506033,8.321816,9.675238,0.598824,0.266216,4.801171,4.613507,7.610126
2012-12-11,QQQ,20.585248,15.889131,17.485452,4.63966,8.621533,9.568609,-0.292271,0.168188,0.668188,3.179584,7.574617
2012-12-12,QQQ,3.37131,16.829939,16.904959,20.585248,12.545203,10.585361,-1.296749,-0.103344,10.771923,4.88479,8.050017
2012-12-13,QQQ,12.587799,17.046613,16.959801,3.37131,9.668334,10.201374,0.212373,-0.284569,0.773929,4.47799,7.812681
2012-12-14,QQQ,15.142389,16.090261,16.823192,12.587799,10.13801,9.892518,0.792957,0.003027,9.763984,5.355839,7.222139
2012-12-17,QQQ,20.963293,16.412636,16.554908,15.142389,11.265281,10.381468,0.953881,0.074038,5.909674,5.57754,7.383232
2012-12-18,QQQ,24.034644,13.545883,15.995913,20.963293,14.530008,11.084867,-1.320563,-0.13162,18.547745,9.153451,7.919686
2012-12-19,QQQ,6.933013,10.342841,15.131437,24.034644,15.219887,10.423127,-1.51404,-0.175079,17.568497,10.512766,7.207736
2012-12-20,QQQ,0.0,9.928428,15.066317,6.933013,15.932228,10.744901,0.436739,-0.130205,11.837277,12.725435,7.765403
2012-12-21,QQQ,16.783405,12.072617,15.213069,0.0,13.414668,10.583388,-0.0,-0.288797,9.105545,12.593748,8.072592
2012-12-24,QQQ,3.168783,17.622841,15.526105,16.783405,13.742871,10.227278,1.057255,-0.268122,14.475078,14.306829,7.722135
2012-12-26,QQQ,13.967149,28.317825,15.610511,3.168783,10.183969,10.043991,0.199615,0.035914,4.90026,11.577331,7.798491
2012-12-27,QQQ,2.462374,27.867955,15.329667,13.967149,8.17047,10.474081,0.879848,0.514691,6.704982,9.404628,7.727555
2012-12-28,QQQ,15.358124,27.944396,15.320333,2.462374,7.276342,9.915976,0.155115,0.458366,2.128152,7.462803,7.197422
2012-12-31,QQQ,33.253043,27.088018,14.966724,15.358124,10.347967,10.212848,0.967471,0.651861,17.25116,9.091926,7.690508
2013-01-02,QQQ,49.666031,22.683242,13.112968,33.253043,13.641894,11.742966,-2.094745,0.021461,26.755057,11.547922,9.011449
2013-01-03,QQQ,8.288543,5.317687,8.428379,49.666031,22.941344,14.069214,-3.128666,-0.644195,40.174044,18.602679,10.628261
2013-01-04,QQQ,5.234004,5.70243,10.242659,8.288543,21.805623,14.435296,0.522129,-0.715739,3.591433,17.979969,10.695538
2013-01-07,QQQ,0.478951,5.286111,11.371361,5.234004,22.359949,13.809213,0.329711,-0.68082,6.955464,18.945431,10.902915
2013-01-08,QQQ,3.099773,6.162019,11.42707,0.478951,19.384114,13.32119,-0.030171,-0.880348,4.34308,16.363816,10.851332
2013-01-09,QQQ,5.954514,6.953858,11.411229,3.099773,13.35346,13.000877,0.195267,-0.422346,4.574155,11.927635,10.839981
2013-01-10,QQQ,9.481535,7.036546,11.874867,5.954514,4.611157,13.06662,-0.375099,0.128368,4.030433,4.698913,11.008094
2013-01-11,QQQ,2.126288,6.557662,11.69367,9.481535,4.849755,12.511434,-0.597281,-0.095514,12.56988,6.494602,11.097991
2013-01-14,QQQ,7.096966,6.679403,11.771554,2.126288,4.228212,12.449183,-0.133944,-0.188245,0.108451,5.1252,11.064718
2013-01-15,QQQ,7.844549,5.991253,11.733416,7.096966,5.551815,12.174641,0.447067,-0.092798,1.080848,4.472753,10.630561
2013-01-16,QQQ,6.421871,6.500058,11.60832,7.844549,6.500771,11.809749,0.49416,-0.033019,1.080848,3.774092,10.389119
2013-01-17,QQQ,7.572928,11.434753,11.5686,6.421871,6.594242,11.082678,-0.40454,-0.038907,0.216924,3.01139,9.472578
2013-01-18,QQQ,3.546634,11.503476,11.718969,7.572928,6.21252,10.259592,-0.47705,-0.014861,10.222811,2.541977,9.105294
2013-01-22,QQQ,2.601991,11.503704,12.86811,3.546634,6.49659,10.090273,0.223417,0.056611,3.536411,3.227568,8.690251
2013-01-23,QQQ,9.659976,11.445181,13.386385,2.601991,5.597595,10.220373,-0.16391,-0.065584,8.538007,4.719,8.661874
2013-01-24,QQQ,21.99442,10.701522,13.668257,9.659976,5.96068,9.864201,-0.608521,-0.286121,2.552873,5.013405,8.065764
2013-01-25,QQQ,8.076581,4.505824,13.503722,21.99442,9.07519,10.805483,1.385518,0.071891,0.424413,5.054903,7.841971
2013-01-28,QQQ,3.550331,8.761691,13.451518,8.076581,9.175921,10.510955,-0.508777,0.065545,8.901155,4.790572,7.95178
2013-01-29,QQQ,0.234999,15.174291,13.883018,3.550331,9.17666,10.565353,-0.22365,-0.023868,1.904047,4.464099,7.940575
2013-01-30,QQQ,3.31167,18.389925,13.901675,0.234999,8.703262,9.809196,-0.014804,0.005953,6.22945,4.002388,7.389489
2013-01-31,QQQ,3.557227,18.476366,13.957638,3.31167,7.4336,8.312128,0.208616,0.169381,6.22945,4.737703,6.363209
2013-02-01,QQQ,18.642829,18.418673,14.0207,3.557227,3.746162,6.006688,0.224084,-0.062906,3.918842,5.436589,4.550449
2013-02-04,QQQ,27.92963,17.949159,14.347405,18.642829,5.859411,6.524402,-1.174388,-0.196028,16.24793,6.905944,5.183274
2013-02-05,QQQ,23.231583,12.891976,13.016883,27.92963,10.735271,7.659183,1.759401,0.200582,17.944304,10.113995,5.732716
2013-02-06,QQQ,5.186599,8.175686,12.023546,23.231583,15.334588,8.796815,-1.463452,-0.089148,15.948454,12.057796,6.312984
2013-02-07,QQQ,1.418125,8.232251,11.976943,5.186599,15.709574,8.901156,0.326725,-0.065526,1.154549,11.042816,6.142004
2013-02-08,QQQ,16.191944,8.210443,12.015108,1.418125,15.281753,8.674337,-0.089333,-0.128209,2.101245,10.679296,6.045545
2013-02-11,QQQ,0.466764,4.399673,11.552503,16.191944,14.791576,9.009857,-1.019997,-0.097331,8.808701,9.19145,5.857486
2013-02-12,QQQ,6.54984,6.744679,11.560977,0.466764,9.299003,8.926881,-0.029403,-0.455092,0.313944,5.665378,5.86776
2013-02-13,QQQ,5.616174,12.573512,11.53073,6.54984,5.962654,8.899525,0.412601,-0.079881,2.614741,2.998636,5.944455
2013-02-14,QQQ,0.467039,14.501331,11.505958,5.616174,6.048569,8.788106,-0.353786,-0.215984,1.356865,3.039099,5.958256
2013-02-15,QQQ,4.680579,16.153543,11.530496,0.467039,5.858352,8.490364,0.029421,-0.192233,1.459137,2.910678,6.020366
2013-02-19,QQQ,11.44053,18.290139,11.504098,4.680579,3.556079,8.345747,0.294849,0.070736,1.877216,1.524381,5.603087
2013-02-20,QQQ,24.6153,17.761987,11.489501,11.44053,5.750832,8.740442,-0.720686,-0.06752,11.85215,3.832022,6.018874
2013-02-21,QQQ,17.103165,15.696017,10.89939,24.6153,9.363924,9.841107,1.550618,0.160083,19.908863,7.290846,6.587416
2013-02-22,QQQ,15.920427,13.785845,10.774258,17.103165,11.661323,10.213266,1.077398,0.44632,9.67966,8.955405,6.943756
2013-02-25,QQQ,19.745097,12.169598,10.2769,15.920427,14.752,9.909567,-1.002893,0.239857,15.438249,11.751228,7.694448
2013-02-26,QQQ,5.973336,8.947985,9.515662,19.745097,17.764904,10.492993,1.243824,0.429652,30.495451,17.474875,8.774162
2013-02-27,QQQ,16.13372,13.467256,9.436872,5.973336,16.671465,10.614143,-0.376285,0.498533,10.829885,17.270422,9.220454
2013-02-28,QQQ,3.307727,11.506671,8.797152,16.13372,14.975149,11.409079,-1.016329,-0.014857,19.874266,17.263502,9.902695
2013-03-01,QQQ,6.611207,11.562334,9.081769,3.307727,12.216061,11.408882,0.208367,-0.188663,3.137328,15.955036,9.748089
2013-03-04,QQQ,7.050208,11.208408,9.369872,6.611207,10.354217,11.561581,-0.416467,-0.071378,5.226752,13.912736,9.813484
2013-03-05,QQQ,23.284834,10.951499,9.772981,7.050208,7.815239,10.98195,-0.444121,-0.408967,8.430699,9.499786,9.422623
2013-03-06,QQQ,3.934378,4.259567,8.348845,23.284834,11.277539,10.74971,-1.466807,-0.627071,14.158765,10.165562,9.233346
2013-03-07,QQQ,4.166723,3.989264,8.795612,3.934378,8.837671,9.78485,0.247842,-0.374237,2.159165,6.622542,8.543882
2013-03-08,QQQ,1.847226,4.253064,8.938381,4.166723,9.00947,9.733856,-0.262479,-0.468406,2.873896,6.569855,8.629849
2013-03-11,QQQ,4.608683,4.617096,9.227804,1.847226,8.056674,9.755311,-0.116364,-0.408386,6.75486,6.875477,8.86253
2013-03-12,QQQ,5.764238,4.41445,11.355372,4.608683,7.568369,9.176148,-0.29032,-0.377625,6.013367,6.392011,8.722763
2013-03-13,QQQ,2.081087,3.830109,11.286464,5.764238,4.06425,9.441021,0.363113,-0.011642,3.565327,4.273323,8.885332
2013-03-14,QQQ,5.313492,6.210559,11.280045,2.081087,3.693591,9.217584,0.131096,-0.034991,2.242217,4.289933,8.866706
2013-03-15,QQQ,4.422371,9.9306,13.17389,5.313492,3.922945,9.20245,-0.334719,-0.049439,8.429832,5.401121,9.220354
2013-03-18,QQQ,3.476913,11.90875,13.909902,4.422371,4.437974,9.400216,0.278583,0.029551,2.097851,4.469719,9.25229
2013-03-19,QQQ,3.022954,12.087958,15.486102,3.476913,4.21162,9.340033,0.219025,0.13142,8.784248,5.023895,9.597642
2013-03-20,QQQ,11.128229,12.608888,16.203741,3.022954,3.663364,8.919154,0.190428,0.096883,3.691937,5.049217,9.189631
2013-03-21,QQQ,18.123522,11.622436,16.699535,11.128229,5.472792,8.244801,-0.701013,-0.069539,11.050152,6.810804,8.746695
2013-03-22,QQQ,15.348125,8.51213,16.606799,18.123522,8.034798,8.295819,1.141675,0.22574,13.619951,7.848828,8.94371
2013-03-25,QQQ,5.795768,6.993128,16.598556,15.348125,10.219949,8.267203,-0.966841,-0.023345,12.701718,9.969601,8.806883
2013-03-26,QQQ,8.571165,8.558878,16.550982,5.795768,10.68372,7.569737,0.365099,0.00587,6.644936,9.541739,7.614358
2013-03-27,QQQ,2.079011,10.04552,16.547789,8.571165,11.793362,7.699628,-0.539933,-0.140203,12.65354,11.334059,7.70554
2013-03-28,QQQ,3.916472,10.004566,16.57772,2.079011,9.983518,6.996893,-0.130965,-0.026193,0.0,9.124029,6.711827
2013-04-01,QQQ,10.853681,11.501725,16.856854,3.916472,7.142108,7.02733,-0.246715,-0.303871,4.871398,7.374318,6.798531
2013-04-02,QQQ,12.463692,11.08311,16.876957,10.853681,6.243219,7.239454,0.683718,0.026241,6.295414,6.093058,6.851964
2013-04-03,QQQ,14.551815,10.701938,16.735023,12.463692,7.576804,7.510128,-0.785139,-0.203807,7.812529,6.326576,6.821055
2013-04-04,QQQ,0.465414,16.135527,16.997805,14.551815,8.772934,7.073477,0.916678,0.087515,16.176386,7.031145,6.921936
